Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:01:00,11.1883333333333,12.7095061313497,11.9917691860024,12.6345526672178 
 01/01  00:02:00,11.1766666666667,12.7076149221897,11.9879255029415,12.62888481121 
 01/01  00:03:00,11.165,12.7056862684015,11.9840818198805,12.6229957811702 
 01/01  00:04:00,11.1533333333333,12.7036929221955,11.9799365561942,12.6172898732843 
 01/01  00:05:00,11.1416666666667,12.7017047828404,11.9757912925078,12.6118767613565 
 01/01  00:06:00,11.13,12.6996698366381,11.9714228964502,12.6067528411854 
 01/01  00:07:00,11.1183333333333,12.6976442208488,11.9670545003925,12.601889085566 
 01/01  00:08:00,11.1066666666667,12.6955895047633,11.9625053481831,12.5972612880392 
 01/01  00:09:00,11.095,12.6935424998047,11.9579561959736,12.5928545746986 
 01/01  00:10:00,11.0833333333333,12.6914773417797,11.9532537506518,12.5886773376368 
 01/01  00:11:00,11.0716666666667,12.6894196663418,11.9485513053301,12.584794945564 
 01/01  00:12:00,11.06,12.6873541354509,11.9437151037406,12.5812492969823 
 01/01  00:13:00,11.0483333333333,12.6852995604808,11.938878902151,12.5780650096415 
 01/01  00:14:00,11.0366666666667,12.6832478148989,11.9339236826409,12.575276912729 
 01/01  00:15:00,11.025,12.6812998204683,11.9289684631307,12.5728997289397 
 01/01  00:16:00,11.0133333333333,12.6792088466707,11.9239058059238,12.5703776375029 
 01/01  00:17:00,11.0016666666667,12.6772914711889,11.9188431487169,12.5674985512356 
 01/01  00:18:00,10.99,12.6751844667619,11.9136824286882,12.5642251515002 
 01/01  00:19:00,10.9783333333333,12.6731518011799,11.9085217086594,12.560627451656 
 01/01  00:20:00,10.9666666666667,12.6710736393537,11.9032706908549,12.5567729302056 
 01/01  00:21:00,10.955,12.668987048276,11.8980196730504,12.5527064284346 
 01/01  00:22:00,10.9433333333333,12.6668778597028,11.8926849062344,12.5485162285446 
 01/01  00:23:00,10.9316666666667,12.6647644694434,11.8873501394185,12.5442517747448 
 01/01  00:24:00,10.92,12.6626267515434,11.8819372278141,12.5399298754214 
 01/01  00:25:00,10.9083333333333,12.6604870658155,11.8765243162096,12.5355546635766 
 01/01  00:26:00,10.8966666666667,12.6583234844396,11.871038113947,12.5311275943758 
 01/01  00:27:00,10.885,12.6561581516945,11.8655519116844,12.5266880899656 
 01/01  00:28:00,10.8733333333333,12.6539706500821,11.8599966661482,12.5222760499471 
 01/01  00:29:00,10.8616666666667,12.6517839502658,11.8544414206122,12.5179068997774 
 01/01  00:30:00,10.85,12.649578332566,11.8488208808168,12.5135805280458 
 01/01  00:31:00,10.8383333333333,12.6473740716666,11.8432003410214,12.509292481022 
 01/01  00:32:00,10.8266666666667,12.6451533487822,11.8375178413061,12.5050434445839 
 01/01  00:33:00,10.815,12.6429338704599,11.8318353415907,12.5008612105405 
 01/01  00:34:00,10.8033333333333,12.6407006723199,11.8260938674106,12.4967593335115 
 01/01  00:35:00,10.7916666666667,12.6384700562456,11.8203523932304,12.4927383172526 
 01/01  00:36:00,10.78,12.6362283647724,11.8145546336356,12.4887930437105 
 01/01  00:37:00,10.7683333333333,12.633989135059,11.8087568740408,12.4849179250554 
 01/01  00:38:00,10.7566666666667,12.6317406913876,11.8029052640544,12.481145444611 
 01/01  00:39:00,10.745,12.6294955560155,11.7970536540681,12.4775152548809 
 01/01  00:40:00,10.7333333333333,12.627245247387,11.791150409273,12.474042267712 
 01/01  00:41:00,10.7216666666667,12.6250000474385,11.7852471644779,12.470725644603 
 01/01  00:42:00,10.71,12.6227534383628,11.7792943095162,12.4675596829336 
 01/01  00:43:00,10.6983333333333,12.6205117637307,11.7733414545545,12.4645498129659 
 01/01  00:44:00,10.6866666666667,12.6182718467304,11.7673408468244,12.4617664974889 
 01/01  00:45:00,10.675,12.6160392738646,11.7613402390942,12.4592435864168 
 01/01  00:46:00,10.6633333333333,12.6138149395153,11.7552935886276,12.4570023639482 
 01/01  00:47:00,10.6516666666667,12.6115998091903,11.7492469381609,12.4550705502513 
 01/01  00:48:00,10.64,12.6093998775108,11.7431558244433,12.4535112203162 
 01/01  00:49:00,10.6283333333333,12.6072120962564,11.7370647107257,12.4523544388171 
 01/01  00:50:00,10.6166666666667,12.605048771419,11.7309305970512,12.4509299211008 
 01/01  00:51:00,10.605,12.6028774283196,11.7247964833767,12.4489396111526 
 01/01  00:52:00,10.5933333333333,12.6007014856573,11.718620729203,12.4463807744586 
 01/01  00:53:00,10.5816666666667,12.5985070154389,11.7124449750291,12.4433444649291 
 01/01  00:54:00,10.57,12.5962889730099,11.7062288466977,12.4399228186494 
 01/01  00:55:00,10.5583333333333,12.5940581309516,11.7000127183663,12.4362657806009 
 01/01  00:56:00,10.5466666666667,12.5917967985462,11.6937573984797,12.4324547788617 
 01/01  00:57:00,10.535,12.5895302214768,11.687502078593,12.4285186158099 
 01/01  00:58:00,10.5233333333333,12.5872326978476,11.6812086742787,12.4244650308643 
 01/01  00:59:00,10.5116666666667,12.5849312395028,11.6749152699646,12.4202987966702 
 01/01  01:00:00,10.5,12.5825990826291,11.6685848202168,12.4160629525465 
 01/01  01:01:00,10.4983333333333,12.5802645329823,11.6632562224022,12.4119191094296 
 01/01  01:02:00,10.4966666666667,12.5779056434409,11.6581061658164,12.4079967302339 
 01/01  01:03:00,10.495,12.5755537746384,11.6529561092306,12.4043411594187 
 01/01  01:04:00,10.4933333333333,12.573188738791,11.6481372167232,12.4009499856221 
 01/01  01:05:00,10.4916666666667,12.5708323182073,11.6433183242158,12.3978072785485 
 01/01  01:06:00,10.49,12.5684713558961,11.6387370524614,12.3948974542519 
 01/01  01:07:00,10.4883333333333,12.5661180309668,11.6341557807071,12.3922944533928 
 01/01  01:08:00,10.4866666666667,12.5637684270653,11.6297618424696,12.3900647469041 
 01/01  01:09:00,10.485,12.5614309650526,11.6253679042321,12.3882430359741 
 01/01  01:10:00,10.4833333333333,12.5591074605246,11.6211288807567,12.3868597607377 
 01/01  01:11:00,10.4816666666667,12.5567982942182,11.6168898572814,12.3860012585556 
 01/01  01:12:00,10.48,12.5545157721091,11.6127828162734,12.3851388527828 
 01/01  01:13:00,10.4783333333333,12.5522337124623,11.6086757752654,12.3838233154884 
 01/01  01:14:00,10.4766666666667,12.5499530050963,11.6046835194002,12.3819725939675 
 01/01  01:15:00,10.475,12.5476549893248,11.6006912635351,12.3796681667 
 01/01  01:16:00,10.4733333333333,12.5453390837484,11.5968003632214,12.3770098271901 
 01/01  01:17:00,10.4716666666667,12.5430114171158,11.5929094629077,12.3740746433663 
 01/01  01:18:00,10.47,12.5406557987488,11.5891091137355,12.3709449789325 
 01/01  01:19:00,10.4683333333333,12.5382936279975,11.5853087645633,12.3676932024862 
 01/01  01:20:00,10.4666666666667,12.5359023379687,11.5815900731562,12.3643541487669 
 01/01  01:21:00,10.465,12.5335080614717,11.5778713817491,12.3609413608681 
 01/01  01:22:00,10.4633333333333,12.5310854996764,11.5742268938563,12.3574609983799 
 01/01  01:23:00,10.4616666666667,12.5286606491867,11.5705824059636,12.3539195363924 
 01/01  01:24:00,10.46,12.5262083385993,11.5670057807797,12.3503838516694 
 01/01  01:25:00,10.4583333333333,12.523756083182,11.5634291555958,12.3468919209476 
 01/01  01:26:00,10.4566666666667,12.5212804691431,11.559914933058,12.343452368384 
 01/01  01:27:00,10.455,12.5188064965741,11.5564007105201,12.3400619428167 
 01/01  01:28:00,10.4533333333333,12.5163123052527,11.5529441402484,12.3367149808501 
 01/01  01:29:00,10.4516666666667,12.513819498232,11.5494875699765,12.3334218389273 
 01/01  01:30:00,10.45,12.511308995887,11.546084482484,12.3302086993894 
 01/01  01:31:00,10.4483333333333,12.5088010428034,11.5426813949915,12.3270861816808 
 01/01  01:32:00,10.4466666666667,12.5062786715979,11.5393281026877,12.3240521661256 
 01/01  01:33:00,10.445,12.5037591626275,11.535974810384,12.321100329454 
 01/01  01:34:00,10.4433333333333,12.5012276262914,11.5326680300675,12.3182238611514 
 01/01  01:35:00,10.4416666666667,12.498698537101,11.5293612497512,12.3154652891981 
 01/01  01:36:00,10.44,12.4961605083741,11.5260980409261,12.3128596565652 
 01/01  01:37:00,10.4383333333333,12.4936274163712,11.522834832101,12.3104159631498 
 01/01  01:38:00,10.4366666666667,12.4910896620881,11.5196125471734,12.3081289082881 
 01/01  01:39:00,10.435,12.4885570231368,11.5163902622457,12.3059900731228 
 01/01  01:40:00,10.4333333333333,12.4860230498984,11.5132065058102,12.3040004463165 
 01/01  01:41:00,10.4316666666667,12.4834939549316,11.5100227493745,12.3022121458203 
 01/01  01:42:00,10.43,12.4809680450053,11.5068753445813,12.3006647404846 
 01/01  01:43:00,10.4283333333333,12.478449968068,11.5037279397881,12.2993811370788 
 01/01  01:44:00,10.4266666666667,12.4759412039749,11.5006149003196,12.2983839970608 
 01/01  01:45:00,10.425,12.4734418003779,11.4975018608512,12.297725084022 
 01/01  01:46:00,10.4233333333333,12.4709597007494,11.494421367408,12.2974233718408 
 01/01  01:47:00,10.4216666666667,12.4684892919954,11.4913408739647,12.2969047523744 
 01/01  01:48:00,10.42,12.4660254445653,11.4882912544214,12.29586741037 
 01/01  01:49:00,10.4183333333333,12.463545077925,11.4852416348782,12.2942912108348 
 01/01  01:50:00,10.4166666666667,12.4610503937774,11.4822213474591,12.2922590555694 
 01/01  01:51:00,10.415,12.4585406703898,11.4792010600399,12.2898557781664 
 01/01  01:52:00,10.4133333333333,12.4560034189947,11.4762086789974,12.2872250939533 
 01/01  01:53:00,10.4116666666667,12.4534584713511,11.473216297955,12.2844501652405 
 01/01  01:54:00,10.41,12.4508850578905,11.4702505013407,12.2815621278023 
 01/01  01:55:00,10.4083333333333,12.4483078106889,11.4672847047263,12.2785713102047 
 01/01  01:56:00,10.4066666666667,12.4457031502533,11.4643442639202,12.2754835838944 
 01/01  01:57:00,10.405,12.4430952436177,11.4614038231142,12.2723273107745 
 01/01  01:58:00,10.4033333333333,12.4404616501675,11.4584875938421,12.2691575931559 
 01/01  01:59:00,10.4016666666667,12.4378274938825,11.45557136457,12.2660024396651 
 01/01  02:00:00,10.4,12.4351716711087,11.4526782791762,12.2628677768108 
 01/01  02:01:00,10.4,12.4325164558241,11.4499521691046,12.2598035851367 
 01/01  02:02:00,10.4,12.4298444018091,11.4472839733986,12.2568358872628 
 01/01  02:03:00,10.4,12.4271754300882,11.4446157776927,12.2539681055985 
 01/01  02:04:00,10.4,12.4244945214746,11.4420298462457,12.2512264424936 
 01/01  02:05:00,10.4,12.4218176857299,11.4394439147986,12.2486436293028 
 01/01  02:06:00,10.4,12.419135083671,11.4369236371059,12.2462284292407 
 01/01  02:07:00,10.4,12.4164579372897,11.4344033594132,12.2439745673131 
 01/01  02:08:00,10.4,12.4137800346259,11.4319393961192,12.2418712436165 
 01/01  02:09:00,10.4,12.4111070694447,11.429475432825,12.2399083883902 
 01/01  02:10:00,10.4,12.4084368458182,11.4270614794154,12.238152056279 
 01/01  02:11:00,10.4,12.4057733196128,11.4246475260058,12.2366514977628 
 01/01  02:12:00,10.4,12.4031197064747,11.422278911153,12.2354300542516 
 01/01  02:13:00,10.4,12.4004752089935,11.4199102963001,12.2345102241713 
 01/01  02:14:00,10.4,12.397848126517,11.4175833523177,12.2339189108214 
 01/01  02:15:00,10.4,12.3952317971555,11.4152564083352,12.2332104806915 
 01/01  02:16:00,10.4,12.3926262871596,11.4129681393579,12.232092362868 
 01/01  02:17:00,10.4,12.3900077985637,11.4106798703804,12.230538895159 
 01/01  02:18:00,10.4,12.387382513891,11.4084277583414,12.2286272155542 
 01/01  02:19:00,10.4,12.3847454165364,11.4061756463025,12.226436954794 
 01/01  02:20:00,10.4,12.3820912505799,11.4039575286696,12.2240244312898 
 01/01  02:21:00,10.4,12.3794296768958,11.4017394110368,12.2214582355785 
 01/01  02:22:00,10.4,12.3767482750729,11.3995533992748,12.2188028881765 
 01/01  02:23:00,10.4,12.3740638167455,11.3973673875127,12.2160905189304 
 01/01  02:24:00,10.4,12.3713613500425,11.3952118102643,12.2133334335764 
 01/01  02:25:00,10.4,12.3686573536522,11.3930562330161,12.2105384713144 
 01/01  02:26:00,10.4,12.3659373888739,11.3909295951121,12.2077088754614 
 01/01  02:27:00,10.4,12.3632162493418,11.3888029572081,12.2048777102967 
 01/01  02:28:00,10.4,12.3604816367634,11.3867039092606,12.2020687279156 
 01/01  02:29:00,10.4,12.3577476879098,11.3846048613131,12.1992897083526 
 01/01  02:30:00,10.4,12.3550032314555,11.3825321766293,12.1965399770642 
 01/01  02:31:00,10.4,12.3522597088833,11.3804594919455,12.1938169904366 
 01/01  02:32:00,10.4,12.3495079763228,11.3784120486239,12.1911231311628 
 01/01  02:33:00,10.4,12.3467571777893,11.3763646053022,12.1884723651478 
 01/01  02:34:00,10.4,12.3440004861323,11.3743413720543,12.1858696748669 
 01/01  02:35:00,10.4,12.3412453465387,11.3723181388064,12.1833144064587 
 01/01  02:36:00,10.4,12.3384863441373,11.3703181634874,12.1808036377434 
 01/01  02:37:00,10.4,12.3357287924764,11.3683181881684,12.1783340375555 
 01/01  02:38:00,10.4,12.3329689248805,11.3663405883044,12.1759184107652 
 01/01  02:39:00,10.4,12.3302108056158,11.3643629884403,12.1735774986121 
 01/01  02:40:00,10.4,12.3274528647946,11.3624069432599,12.1713184794029 
 01/01  02:41:00,10.4,12.3246975907465,11.3604508980797,12.1691389868332 
 01/01  02:42:00,10.4,12.321944787586,11.3585156417175,12.1670334114955 
 01/01  02:43:00,10.4,12.3191944141552,11.3565803853552,12.1649960892647 
 01/01  02:44:00,10.4,12.3164481604358,11.3546652009968,12.1630591974903 
 01/01  02:45:00,10.4,12.3137051692032,11.3527500166386,12.1612487592545 
 01/01  02:46:00,10.4,12.3109698490938,11.3508542314559,12.1595748175532 
 01/01  02:47:00,10.4,12.3082389934572,11.3489584462731,12.1580415182692 
 01/01  02:48:00,10.4,12.3055192649954,11.3470814270321,12.1566589126737 
 01/01  02:49:00,10.4,12.3028044792793,11.3452044077911,12.1554489135887 
 01/01  02:50:00,10.4,12.3001049387881,11.3433455570498,12.1543427809991 
 01/01  02:51:00,10.4,12.2974088954932,11.3414867063085,12.1531457375569 
 01/01  02:52:00,10.4,12.2947225742222,11.3396454591286,12.1517053967594 
 01/01  02:53:00,10.4,12.2920285163995,11.3378042119486,12.1499974461472 
 01/01  02:54:00,10.4,12.2893332620967,11.3359800330594,12.1480575311366 
 01/01  02:55:00,10.4,12.2866303809544,11.3341558541704,12.145950642502 
 01/01  02:56:00,10.4,12.2839205266269,11.3323482355293,12.1437413042072 
 01/01  02:57:00,10.4,12.2812072112423,11.3305406168881,12.141462230551 
 01/01  02:58:00,10.4,12.2784864058149,11.3287490755847,12.1391260603697 
 01/01  02:59:00,10.4,12.2757636870445,11.3269575342813,12.1367386368613 
 01/01  03:00:00,10.4,12.2730340371036,11.3251816107444,12.1343048260407 
 01/01  03:01:00,10.3983333333333,12.270302845473,11.3232387118854,12.1318355955825 
 01/01  03:02:00,10.3966666666667,12.2675655446211,11.3212752248234,12.1293363390792 
 01/01  03:03:00,10.395,12.2648272391596,11.3193117377615,12.126808711156 
 01/01  03:04:00,10.3933333333333,12.2620835372534,11.3173019617178,12.124253276271 
 01/01  03:05:00,10.3916666666667,12.2593389126274,11.3152921856741,12.1216708585663 
 01/01  03:06:00,10.39,12.2565894302177,11.3132514585421,12.1190625747375 
 01/01  03:07:00,10.3883333333333,12.2538390898564,11.3112107314101,12.1164300506576 
 01/01  03:08:00,10.3866666666667,12.251084336026,11.3091471924954,12.1137753227737 
 01/01  03:09:00,10.385,12.2483288439832,11.3070836535807,12.1111000581642 
 01/01  03:10:00,10.3833333333333,12.2455693887886,11.3050024746273,12.1084055015437 
 01/01  03:11:00,10.3816666666667,12.2428092925386,11.3029212956739,12.1056927541769 
 01/01  03:12:00,10.38,12.240045663083,11.3008260775535,12.1029627968575 
 01/01  03:13:00,10.3783333333333,12.2372814621979,11.298730859433,12.1002166032336 
 01/01  03:14:00,10.3766666666667,12.2345141378709,11.296624256982,12.0974550677318 
 01/01  03:15:00,10.375,12.2317463043581,11.294517654531,12.094679071154 
 01/01  03:16:00,10.3733333333333,12.2289757406079,11.2924017039164,12.0918894164531 
 01/01  03:17:00,10.3716666666667,12.2262047238196,11.2902857533019,12.0890868885244 
 01/01  03:18:00,10.37,12.2234313561899,11.2881620618676,12.0862722040198 
 01/01  03:19:00,10.3683333333333,12.2206575856634,11.2860383704333,12.0834460617602 
 01/01  03:20:00,10.3666666666667,12.2178818300589,11.283908235107,12.0806091027284 
 01/01  03:21:00,10.365,12.2151057163551,11.2817780997806,12.0777619498376 
 01/01  03:22:00,10.3633333333333,12.2123279688937,11.2796425851081,12.0749051775535 
 01/01  03:23:00,10.3616666666667,12.209549903418,11.2775070704357,12.0720393414719 
 01/01  03:24:00,10.36,12.2067705399719,11.2753670622767,12.0691649573483 
 01/01  03:25:00,10.3583333333333,12.2039908944208,11.2732270541177,12.0662825162875 
 01/01  03:26:00,10.3566666666667,12.201210269921,11.2710832979,12.063392488703 
 01/01  03:27:00,10.355,12.198429395574,11.2689395416822,12.0604953154671 
 01/01  03:28:00,10.3533333333333,12.1956478440164,11.2667926704462,12.0575914162067 
 01/01  03:29:00,10.3516666666667,12.192866071522,11.2646457992102,12.0546811852513 
 01/01  03:30:00,10.35,12.1900839053774,11.2624963546694,12.0517649989982 
 01/01  03:31:00,10.3483333333333,12.187301544215,11.2603469101286,12.0488432099283 
 01/01  03:32:00,10.3466666666667,12.1845190543872,11.2581953588121,12.0459161589534 
 01/01  03:33:00,10.345,12.1817363928755,11.2560438074956,12.0429841610399 
 01/01  03:34:00,10.3433333333333,12.1789538491468,11.2538905533435,12.0400475244137 
 01/01  03:35:00,10.3416666666667,12.1761711547221,11.2517372991914,12.0371065277919 
 01/01  03:36:00,10.34,12.1733888061503,11.2495826935367,12.0341614559757 
 01/01  03:37:00,10.3383333333333,12.1706063258631,11.2474280878819,12.0312125601894 
 01/01  03:38:00,10.3366666666667,12.1678244019184,11.2452724374693,12.0282600938859 
 01/01  03:39:00,10.335,12.1650423632781,11.2431167870567,12.0253042801932 
 01/01  03:40:00,10.3333333333333,12.1622610742162,11.2409603605648,12.022345350209 
 01/01  03:41:00,10.3316666666667,12.1594796857773,11.2388039340728,12.0193835032767 
 01/01  03:42:00,10.33,12.1566992237731,11.2366469674755,12.0164189501513 
 01/01  03:43:00,10.3283333333333,12.1539186762249,11.2344900008782,12.0134518683226 
 01/01  03:44:00,10.3266666666667,12.1511392164883,11.2323327018955,12.0104824500248 
 01/01  03:45:00,10.325,12.1483596836805,11.2301754029128,12.007510853011 
 01/01  03:46:00,10.3233333333333,12.1455813855256,11.228017954738,12.004537252862 
 01/01  03:47:00,10.3216666666667,12.1428030255454,11.2258605065633,12.0015617895763 
 01/01  03:48:00,10.32,12.1400260334861,11.2237030710081,11.9985846237397 
 01/01  03:49:00,10.3183333333333,12.1372489897417,11.221545635453,11.9956058793368 
 01/01  03:50:00,10.3166666666667,12.1344734345779,11.2193883556206,11.9926257034182 
 01/01  03:51:00,10.315,12.1316978368713,11.2172310757883,11.9896442055056 
 01/01  03:52:00,10.3133333333333,12.1289238367421,11.2150740783591,11.9866615203879 
 01/01  03:53:00,10.3116666666667,12.1261498023094,11.21291708093,11.9836777444614 
