Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:01:00,11.1883333333333,12.709506146951,11.9917691860024,12.6365997313206 
 01/01  00:02:00,11.1766666666667,12.7077632344992,11.9879255029415,12.6341661569016 
 01/01  00:03:00,11.165,12.7058567829836,11.9840818198805,12.6317336234346 
 01/01  00:04:00,11.1533333333333,12.7041020877837,11.9799365561942,12.6293287611218 
 01/01  00:05:00,11.1416666666667,12.7022709535812,11.9757912925078,12.6269948677194 
 01/01  00:06:00,11.13,12.7003589857429,11.9714228964502,12.6247159727402 
 01/01  00:07:00,11.1183333333333,12.698618348133,11.9670545003926,12.6225353914808 
 01/01  00:08:00,11.1066666666667,12.696786837992,11.9625053481832,12.6204662388778 
 01/01  00:09:00,11.095,12.6949537675939,11.9579561959738,12.6185016621678 
 01/01  00:10:00,11.0833333333333,12.693115298305,11.9532537506532,12.616650613792 
 01/01  00:11:00,11.0716666666667,12.6912798868925,11.9485513053328,12.6149816389352 
 01/01  00:12:00,11.06,12.6894436497749,11.9437151037563,12.6135423342885 
 01/01  00:13:00,11.0483333333333,12.6876142926933,11.9388789021797,12.6123639817986 
 01/01  00:14:00,11.0366666666667,12.685791689611,11.9339236827567,12.6114890222997 
 01/01  00:15:00,11.025,12.6839785973563,11.9289684633337,12.6108967275543 
 01/01  00:16:00,11.0133333333333,12.682179685734,11.9239058065293,12.6100704542471 
 01/01  00:17:00,11.0016666666667,12.680374556474,11.9188431497249,12.6087787361344 
 01/01  00:18:00,10.99,12.6785625617393,11.913682431104,12.6070305932991 
 01/01  00:19:00,10.9783333333333,12.676736154507,11.9085217124831,12.6049093860763 
 01/01  00:20:00,10.9666666666667,12.6748895540072,11.9032706986633,12.6024839902942 
 01/01  00:21:00,10.955,12.6729421179066,11.8980196848434,12.5997544702147 
 01/01  00:22:00,10.9433333333333,12.6711180751358,11.8926849275979,12.5968477271481 
 01/01  00:23:00,10.9316666666667,12.6691149237146,11.8873501703525,12.5937881442754 
 01/01  00:24:00,10.92,12.6672628717779,11.8819372789412,12.59063522963 
 01/01  00:25:00,10.9083333333333,12.6652319992451,11.8765243875299,12.5873597954525 
 01/01  00:26:00,10.8966666666667,12.6632620590083,11.8710382236655,12.5839630110332 
 01/01  00:27:00,10.885,12.6612891105302,11.8655520598012,12.5804987900036 
 01/01  00:28:00,10.8733333333333,12.6592909942722,11.8599968813571,12.5770192913374 
 01/01  00:29:00,10.8616666666667,12.6572923076004,11.854441702913,12.573546415522 
 01/01  00:30:00,10.85,12.6552716671073,11.8488212724577,12.5700830279371 
 01/01  00:31:00,10.8383333333333,12.6532512851159,11.8432008420025,12.5666264841192 
 01/01  00:32:00,10.8266666666667,12.6512113240617,11.8375185104586,12.5631792529844 
 01/01  00:33:00,10.815,12.6491716271022,11.8318361789146,12.559771912534 
 01/01  00:34:00,10.8033333333333,12.647115121294,11.826094951143,12.5564202875369 
 01/01  00:35:00,10.7916666666667,12.6450603820077,11.8203537233714,12.5531266684325 
 01/01  00:36:00,10.78,12.6429915680813,11.8145563103097,12.5498874233013 
 01/01  00:37:00,10.7683333333333,12.640924508815,11.808758897248,12.5466983562767 
 01/01  00:38:00,10.7566666666667,12.6389392551747,11.8029077578526,12.5436336438283 
 01/01  00:39:00,10.745,12.6367717475695,11.7970566184572,12.5406882581063 
 01/01  00:40:00,10.7333333333333,12.6347822242178,11.7911539937988,12.5379071385402 
 01/01  00:41:00,10.7216666666667,12.6326121094144,11.7852513691402,12.5352506373083 
 01/01  00:42:00,10.71,12.6306236915449,11.7792993103934,12.5327475864916 
 01/01  00:43:00,10.6983333333333,12.6284547069754,11.7733472516466,12.5303718202602 
 01/01  00:44:00,10.6866666666667,12.6264703195717,11.7673476432889,12.5282249708449 
 01/01  00:45:00,10.675,12.6243082396232,11.7613480349313,12.526315986688 
 01/01  00:46:00,10.6633333333333,12.6223365392757,11.7553026141536,12.5246978903155 
 01/01  00:47:00,10.6516666666667,12.6201905280398,11.7492571933759,12.523375215357 
 01/01  00:48:00,10.64,12.6182405670651,11.7431675664811,12.5224368746416 
 01/01  00:49:00,10.6283333333333,12.6161214348696,11.7370779395863,12.5218979251349 
 01/01  00:50:00,10.6166666666667,12.6142055905349,11.7309455959764,12.5210851887124 
 01/01  00:51:00,10.605,12.6121030559872,11.7248132523666,12.5196731411143 
 01/01  00:52:00,10.5933333333333,12.6101738923625,11.7186395765878,12.5176772392449 
 01/01  00:53:00,10.5816666666667,12.6080448466277,11.7124659008088,12.5151697686779 
 01/01  00:54:00,10.57,12.6060733801661,11.7062521830193,12.512275330484 
 01/01  00:55:00,10.5583333333333,12.6039031105034,11.7000384652298,12.5091158940692 
 01/01  00:56:00,10.5466666666667,12.6017915208922,11.693785910382,12.5057713581176 
 01/01  00:57:00,10.535,12.5996745202845,11.6875333555342,12.5022795966182 
 01/01  00:58:00,10.5233333333333,12.597523644292,11.6812430914968,12.4986555497717 
 01/01  00:59:00,10.5116666666667,12.5953683708516,11.6749528274594,12.4949072754835 
 01/01  01:00:00,10.5,12.5931798141884,11.6686259122641,12.491080292418 
 01/01  01:01:00,10.4983333333333,12.5909885604892,11.6633008490022,12.4873359440652 
 01/01  01:02:00,10.4966666666667,12.5887705488205,11.6581547385269,12.483802364895 
 01/01  01:03:00,10.495,12.5865592051313,11.6530086280515,12.4805235073072 
 01/01  01:04:00,10.4933333333333,12.5843322883347,11.648194108723,12.4774964827641 
 01/01  01:05:00,10.4916666666667,12.5821135724611,11.6433795893945,12.4747058442373 
 01/01  01:06:00,10.49,12.5798878864869,11.6388031316393,12.4721369976617 
 01/01  01:07:00,10.4883333333333,12.5776694696208,11.6342266738841,12.4698686894367 
 01/01  01:08:00,10.4866666666667,12.5754524995047,11.6298380024954,12.4679719052505 
 01/01  01:09:00,10.485,12.5732476037534,11.6254493311068,12.4664846573102 
 01/01  01:10:00,10.4833333333333,12.5710547942964,11.6212160376885,12.4654407318364 
 01/01  01:11:00,10.4816666666667,12.5688764759571,11.6169827442699,12.4649344071135 
 01/01  01:12:00,10.48,12.5667236480082,11.6128819052757,12.464400877804 
 01/01  01:13:00,10.4783333333333,12.564570554605,11.6087810662816,12.4633788382154 
 01/01  01:14:00,10.4766666666667,12.5624163758274,11.6047954915918,12.4617889514364 
 01/01  01:15:00,10.475,12.5602438158307,11.6008099169019,12.4597182813164 
 01/01  01:16:00,10.4733333333333,12.5580502857691,11.5969261826526,12.4572702129496 
 01/01  01:17:00,10.4716666666667,12.5558442138084,11.5930424484034,12.4545227615617 
