Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_1:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_2:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_3:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_4:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_5:Surface Outside Face Temperature [C](TimeStep),SURFACE_6:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep),WINDOW1:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),ZONE1UNITHEATAIROUTLETNODE:System Node Temperature [C](TimeStep),ZONE1UNITHEATAIROUTLETNODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  00:01:00,11.1883333333333,0.0,15.7503531838852,13.0021231866506,0.0,0.0,0.0,0.0,15.5313230304314,0.0,15.2179338641134,5.750218504894175E-03,15.2380095503911,0.0 
 01/01  00:02:00,11.1766666666667,0.0,15.739906533837,12.9938965027712,0.0,0.0,0.0,0.0,15.519146214966,0.0,15.1921268858004,5.717111309478322E-03,15.2179338641134,0.0 
 01/01  00:03:00,11.165,0.0,15.7292761209009,12.9856693540493,0.0,0.0,0.0,0.0,15.5087385240449,0.0,15.1653517887065,5.682486143048298E-03,15.1921268858004,0.0 
 01/01  00:04:00,11.1533333333333,0.0,15.7186348709293,12.977045060728,0.0,0.0,0.0,0.0,15.4976438445537,0.0,15.1397813191726,5.647363007634609E-03,15.1653517887065,0.0 
 01/01  00:05:00,11.1416666666667,0.0,15.7080286259289,12.9684203563483,0.0,0.0,0.0,0.0,15.486749305483,0.0,15.1160126966629,5.509938620688604E-03,15.1397813191726,0.0 
 01/01  00:06:00,11.13,0.0,15.6973877751056,12.9595154681859,0.0,0.0,0.0,0.0,15.4757462515917,0.0,15.094005170118,5.338779820599093E-03,15.1160126966629,0.0 
 01/01  00:07:00,11.1183333333333,0.0,15.6868004556853,12.9506102069269,0.0,0.0,0.0,0.0,15.4647606085053,0.0,15.0735605741,5.164391956157304E-03,15.094005170118,0.0 
 01/01  00:08:00,11.1066666666667,0.0,15.6762229143145,12.941486752844,0.0,0.0,0.0,0.0,15.4537599392194,0.0,15.0545049476627,4.986361044578092E-03,15.0735605741,0.0 
 01/01  00:09:00,11.095,0.0,15.6656880364966,12.9323629552377,0.0,0.0,0.0,0.0,15.442767857737,0.0,15.0367154827917,4.804483683807686E-03,15.0545049476627,0.0 
 01/01  00:10:00,11.0833333333333,0.0,15.6551931324361,12.9230604658237,0.0,0.0,0.0,0.0,15.4317854329205,0.0,15.0201776167101,4.570761344163642E-03,15.0367154827917,0.0 
 01/01  00:11:00,11.0716666666667,0.0,15.644736908697,12.9137576571127,0.0,0.0,0.0,0.0,15.4208216444696,0.0,15.0051123200412,4.177072947983466E-03,15.0201776167101,0.0 
 01/01  00:12:00,11.06,0.0,15.6343519837226,12.9043038271229,0.0,0.0,0.0,0.0,15.4098812802332,0.0,14.9916546512619,3.761293402273097E-03,15.0051123200412,0.0 
 01/01  00:13:00,11.0483333333333,0.0,15.6240170013364,12.8948496983158,0.0,0.0,0.0,0.0,15.3989730330816,0.0,14.9798737602925,3.318340134244934E-03,14.9916546512619,0.0 
 01/01  00:14:00,11.0366666666667,0.0,15.6137875876246,12.8852651258426,0.0,0.0,0.0,0.0,15.3881038291233,0.0,14.9699185757722,2.839796438534179E-03,14.9798737602925,0.0 
 01/01  00:15:00,11.025,0.0,15.6036151412704,12.8756802722453,0.0,0.0,0.0,0.0,15.3772827402571,0.0,14.9611479281056,2.359757228362469E-03,14.9699185757722,0.0 
